,City,State,Country,BNA Score
606,Colorado Springs,CO,US,38
607,Colorado Springs Metro,CO,US,35
608,Columbia,MD,US,33
609,Columbia,SC,US,8
610,Columbia,MO,US,36
611,Columbine Valley,CO,US,6
612,Columbus,IN,US,13
613,Columbus,OH,US,26
614,Columbus,NE,US,20
615,Columbus,GA,US,9
616,Combine,TX,US,23
617,Combined Locks,WI,US,21
618,Commerce,TX,US,12
619,Commerce,MI,US,24
620,Commerce City,CO,US,14
621,Concord,NH,US,14
622,Concord,NC,US,11
623,Conway,AR,US,19
624,Conyers,GA,US,11
625,Coon Rapids,MN,US,18
626,Cooperstown,NY,US,19
627,Coppell,TX,US,30
628,Copper Canyon,TX,US,22
629,Coral Gables,FL,US,11
630,Corinth,TX,US,22
631,Cornish,ME,US,29
632,Corona,CA,US,15
633,Coronado,CA,US,42
634,Corpus Christi,TX,US,8
635,Corsicana,TX,US,10
636,Corte Madera,CA,US,34
637,Corvallis,OR,US,66
638,Costa Mesa,CA,US,11
639,Cottonwood Heights,UT,US,24
640,Council Bluffs,IA,US,37
641,Covington,GA,US,11
642,Covington,KY,US,22
643,Cranberry,PA,US,24
644,Crandall,TX,US,14
645,Cranston,RI,US,15
646,Cresskill,NJ,US,21
647,Cresson,TX,US,28
648,Crested Butte,CO,US,87
649,Crestline,OH,US,37
650,Crofton,MD,US,25
651,Crosby,MN,US,16
652,Cross Roads,TX,US,14
653,Crowley,TX,US,12
654,Crown Point,IN,US,8
655,Crystal Lake,IL,US,7
656,Culver City,CA,US,29
657,Cumberland,MD,US,4
658,Cupertino,CA,US,26
659,Cutler Bay,FL,US,13
660,Cuyahoga Falls,OH,US,30
661,Dacono,CO,US,15
662,Dahlonega,GA,US,22
663,Dallas,GA,US,15
664,Dallas,TX,US,10
665,Dalworthington Gardens,TX,US,9
666,Damascus,MD,US,34
667,Dana Point,CA,US,21
668,Dania Beach,FL,US,6
669,Danville,KY,US,11
670,Danville,CA,US,36
671,Danville,IL,US,6
672,Darien,CT,US,9
673,Davenport,IA,US,32
674,Davenport,CA,US,65
675,Davie,FL,US,19
676,Davis,CA,US,77
677,Dayton,OH,US,28
678,Daytona Beach,FL,US,10
679,DeCordova,TX,US,9
680,DeLand,FL,US,6
681,DeSoto,TX,US,12
682,DeWitt,MI,US,56
683,Dearborn,MI,US,36
684,Decatur,IL,US,6
685,Decatur,GA,US,12
686,Decatur,AL,US,25
687,Decatur,TX,US,12
688,Dedham,MA,US,7
689,Deer Trail,CO,US,55
690,Deerfield,IL,US,8
691,Deerfield Beach,FL,US,13
692,Delafield,WI,US,30
693,Delaware,OH,US,37
694,Delray Beach,FL,US,10
695,Denton,TX,US,20
696,Denver,CO,US,43
697,Depew,NY,US,6
698,Derby,KS,US,9
699,Des Moines,IA,US,32
700,Des Plaines,IL,US,8
701,Destin,FL,US,30
702,Detroit,MI,US,42
703,Detroit Lakes,MN,US,7
704,Dixon,IL,US,5
705,Doral,FL,US,14
706,Double Oak,TX,US,17
707,Douglasville,GA,US,15
708,Dover,DE,US,17
709,Dover,NH,US,13
710,Downers Grove,IL,US,11
711,Downey,CA,US,11
712,Doylestown,PA,US,43
713,Dublin,OH,US,44
714,Dublin,TX,US,6
715,Dublin,CA,US,30
716,Dubuque,IA,US,34
717,Duluth,MN,US,9
718,Duluth,GA,US,19
719,Duncanville,TX,US,9
720,Dundee,NY,US,20
721,Dunedin,FL,US,9
722,Dunwoody,GA,US,14
723,Durango,CO,US,13
724,Durham,NC,US,16
725,Eagan,MN,US,43
726,Earlysville,VA,US,42
727,Easley,SC,US,9
728,East Dundee,IL,US,11
729,East Hanover,NJ,US,19
730,East Honolulu,HI,US,18
731,East Lansing,MI,US,37
732,East Merrimack,NH,US,19
733,East Northport,NY,US,9
734,East Palo Alto,CA,US,29
735,East Providence,RI,US,12
736,Easthampton Town,MA,US,11
737,Easton,PA,US,24
738,Easton,MD,US,12
739,Eastvale,CA,US,17
740,Eaton,CO,US,11
741,Eau Claire,WI,US,48
742,Eden Prairie,MN,US,43
743,Edgecliff Village,TX,US,3
744,Edgewater,NJ,US,23
745,Edgewater,CO,US,16
746,Edina,MN,US,20
747,Edmond,OK,US,22
748,Edmonds,WA,US,26
749,Edwardsville,IL,US,16
750,El Cerrito,CA,US,50
751,El Dorado Hills,CA,US,26
752,El Monte,CA,US,13
753,El Paso,TX,US,7
754,El Sobrante,CA,US,18
755,Elgin,IL,US,8
756,Elizabeth,NJ,US,40
757,Elizabethtown,KY,US,9
758,Elk Grove Village,IL,US,7
759,Ellicott City,MD,US,15
760,Elmhurst,IL,US,7
761,Elmwood,LA,US,16
762,Emerald Isle,NC,US,74
763,Emeryville,CA,US,42
764,Emmaus,PA,US,55
765,Empire,CO,US,17
766,Encinitas,CA,US,38
767,Englewood,CO,US,8
768,Enid,OK,US,37
769,Ennis,TX,US,10
770,Erie,CO,US,24
771,Erie,PA,US,41
772,Escondido,CA,US,20
773,Estero,FL,US,21
774,Estes Park,CO,US,25
775,Euclid,OH,US,20
776,Eugene,OR,US,36
777,Euless,TX,US,11
778,Eureka,CA,US,27
779,Evans,CO,US,4
780,Evanston,IL,US,36
781,Evansville,IN,US,6
782,Everett,WA,US,41
783,Everman,TX,US,8
784,Fairbanks,AK,US,26
785,Fairfax,VA,US,44
786,Fairfield,CT,US,22
787,Fairfield,CA,US,23
788,Fairhope,AL,US,55
789,Fairport,NY,US,14
790,Fairview,TX,US,26
791,Fall River,MA,US,6
792,Falls Church,VA,US,33
793,Falmouth,MA,US,18
794,Fargo,ND,US,46
795,Faribault,MN,US,12
796,Farmers Branch,TX,US,11
797,Farmersville,TX,US,14
798,Farmington,NM,US,11
799,Farmington,UT,US,20
800,Farmington Hills,MI,US,23
801,Fate,TX,US,11
802,Fayette,MO,US,88
803,Fayetteville,NC,US,10
804,Fayetteville,AR,US,48
805,Fayetteville,GA,US,23
806,Federal Heights,CO,US,7
807,Federal Way,WA,US,24
808,Fergus Falls,MN,US,11
809,Ferndale,MI,US,50
810,Ferris,TX,US,11
811,Findlay,OH,US,30
812,Firestone,CO,US,21
813,Firthcliffe,NY,US,14
814,Fishers,IN,US,35
815,Fitchburg,WI,US,40
